document,text
A,"Mengutip cuitan yang dituliskan oleh chef Arnold pada akun Twitter pribadinya @ArnoldPoernomo (26/7), salah satu juri MasterChef ini juga mengomentari peraturan tersebut. Ia bahkan mengatakan bahwa penjual makanan yang menyajikan makanan rasanya akan seperti sedang latihan untuk menjadi kontestan di MasterChef Indonesia.""Wkwkwkwk PPKM makan cuma boleh 20 menit... yang masak pada latihan jadi kontestan MCI. ""Waktu kalian 20 menit dimulai dari sekarang"","" tulis Chef Arnold. Ia juga mengungkapkan yang akan terasa seperti sedang ada dalam kontes MasterChef bukan hanya orang-orang yang memasak. Ketika makanan harus dibuat dengan membutuhkan waktu sekitar 15 menit, maka tugas para pelayan yang menyajikan makanan akan serupa dengan para juri di MasterChef. ""Makanan keluar 15 menit... para waiters (pelayan) latihan jadi Juri MasterChef. ""Waktu makan kalian 5 menit dimulai dari sekarang"","" tulis cuitan lanjutan pada akun Twitter chef Arnold. Ternyata cuitan tersebut juga direspon dengan kocak oleh para pengikut chef Arnold di Twitter. Beberapa bahkan mengatakan peraturan ini menjadi waktu yang tepat untuk menerapkan latihan dasar kepemimpinan saat sekolah serta yang lainnya membayangkan jasa yang akan muncul akibat peraturan tersebut. ""Ternyata gunanya LDK (Latihan Dasar Kepemimpinan) di sekolah ini ya,"" tulis akun @esajinggasptr. ""Bakal ada banyak jasa baru di warteg-warteg terdekat nih! Jasa niupin nasi biar cepet adem dan cepet makannya, jasa blender nasi biar tinggal telen aja, jasa/sedia macam-macam kertas/plastik bungkus, jasa penyedia tambahan waktu makan dan jasa pilih-pilih makanan dari rumah biar cepet,"" tulis akun @Rockibunazer. Tidak hanya akun pribadi netizen, sebuah akun gosip bahkan juga menanggapi terkait peraturan makan yang hanya diperbolehkan selama 20 menit ini. Salah satunya akun Twitter @AREAJULID (27/7). ""10,9,8...3,2,1 teng waktu makan kalian habis,"" tulis akun @AREAJULID sebagai caption tangkapan layar sebuah berita terkait TNI-Polri yang akan ikut memantau tempat makan."
B,"Buku resep ini disusun oleh Naji Iijima, seorang food stylist terkenal untuk penataan makanan pada iklan televisi dan film, yang juga pengarang dari buku “Reel Cuisine: Blockbuster Dishes from the Silver Screen”. Masakan yang dijabarkan dalam buku One Piece: Pirates Recipe ini dibuat dengan cara yang mudah dimengerti dan menggunakan bahan-bahan yang mudah didapat.Dikutip dari onepiece.fandom.com, makanan kesukaan Luffy yaitu daging tulang atau Meat on the Bone, tentunya masuk dalam buku resep ini. Selain itu, ada nasi goreng spesial untuk Gin atau Gin’s Takeout Stirfry yang terinspirasi dari volume 8 bagian 69. Lalu ada White Sea Dish - Skyfish Sautee (volume 26 bagian 237), Dessert-Trekking Pirate Lunchbox (volume 18 bagian 162) , dan Split-the-Booty Sandwiches (volume 32 bagian 302). Total semuanya ada 40 resep masakan yang terinspirasi dari bagian cerita Baratie Arch sampai Fish-Man Island Arc. Selain itu, ada juga bonus informasi tentang kebiasaan makan Eiichiro Oda, sang mangaka pencipta One Piece. Dan juga makanan yang biasanya dimakan oleh Oda di rumah atau di tempat kerjanya bersama para asisten."
C,"Jakarta - Presiden Joko Widodo (Jokowi) memerintahkan vaksinasi di Papua Barat dipercepat. Jokowi ingin para pelajar dan mahasiswa segera melaksanakan pembelajaran tatap muka. Hal itu disampaikan Jokowi saat meninjau vaksinasi di Sorong, Papua Barat, Senin (4/10/2021). Jokowi awalnya menerima laporan dari petugas di Manokwari yang menargetkan vaksinasi 600 orang terdiri atas pelajar, mahasiswa, hingga masyarakat umum. ""Bagus bagus sekali, diajak semua para pelajar mahasiswa dan juga masyarakat, utamanya untuk mahasiswa dan pelajar agar bisa pembelajaran tatap muka dilaksanakan secepat-cepatnya,"" kata Jokowi.'"
D,"Vaksinasi Covid-19 dosis kedua untuk anak usia 12-17 tahun di Tangerang Selatan (Tangsel) baru mencapai 21,5 persen dari target sasaran. Kepala Dinas Kesehatan Tangsel Allin Hendalin Mahdaniar menjelaskan, terdapat 35.200 anak di wilayahnya yang telah menjalani vaksinasi Covid-19 dosis pertama hingga Rabu (29/9/2021). Dari jumlah tersebut, baru 28.001 anak yang sudah disuntik vaksin dosis kedua. Setara 21,5 persen dari total target 130.475 peserta vaksinasi anak yang ditetapkan Pemerintah Provinsi Banten. Artikel ini telah tayang di Kompas.com dengan judul ""Masih Jauh dari Target, Vaksinasi Covid-19 untuk Anak di Tangsel Baru 21,5 Persen"""
E,"Makanan tradisional dapat memiliki definisi yang beraneka ragam. Makanan tradisional adalah warisan makanan yang diturunkan dan telah membudaya di masyarakat Indonesia (Muhilal, 1995), pekat dengan tradisi setempat (Winarno, 1993), menimbulkan pengalaman sensorik tertentu dengan nilai gizi yang tinggi (Europen Communities, 2007). Makanan tradisional juga dapat didefinisikan sebagai makanan umum yang biasa dikonsumsi sejak beberapa generasi, terdiri dari hidangan yang sesuai dengan selera manusia, tidak bertentangan dengan keyakinan agama masyarakat lokal, dan dibuat dari bahan-bahan makanan dan rempah-rempah yang tersedia lokal (Sastroamidjojo, S. 1995). Almli et al (2010) mendefinisikan makanan tradisional sebagai produk makanan yang sering dimakan oleh nenek moyang sampai masyarakat sekarang. Sementara itu Hadisantosa (1993), mendefinisikan makanan tradisional sebagai makanan yang dikonsumsi oleh golongaan etnik dan wilayah spesifik, diolah berdasarkan resep yang secara turun temurun. Bahan baku yang digunakan berasal dari daerah setempat sehingga makanan yang dihasilkan juga sesuai dengan selera masyarakat. Makanan Jawa Timur, terutama Surabaya sangat dipengaruhi oleh masakan Madura. Madura adalah produsen utama garam sehingga rasa asin banyak memengaruhi masakan Surabaya. Pengaruh Arab dan masakan India pengaruh juga dapat ditemukan di masakan Surabaya. Macam-macam kuliner khas Surabaya tersebut sebagian besar berbahan dasar petis. Rasa petis yang gurih dan aroma yang sedikit amis membuat masakan mempunyai rasa yang unik. Contoh makanan Surabaya antara lain rawon, rujak cingur, semanggi, lontong kupang, sate karak (Widodo,2010)."
,
,
,
,
,
,
,
,
,
,
